=============Wed Jul 29 2020 15:43:04 GMT+1000 (Australian Eastern Standard Time)=============
NVDA,,882.62,56.00000000000001
GMED,,80.33,36
NOW,,1439.94,86
ATVI,,202.44,66
DOCU,,765.00,98
HAS,,114.17,33
JD,,559.83,159
MMM,,177.51,10
PYPL,,367.36,53
SCHW,,26.01,-19
SHOP,,21345.24,222.00000000000003
ZM,,1284.89,117
CGNX,,129.94,50
NVCR,,708.92,170
LULU,,679.74,54
ICE,,141.41,30
NTES,,3749.06,153
QDEL,,364.10,26
STAA,,207.17,94
AMD,,277.48,102
=============Thu Jul 30 2020 12:16:34 GMT+1000 (Australian Eastern Standard Time)=============
ANET,,356.05,24
STAA,,207.17,81
NEE,,414.44,24
ASML,,1073.66,65
TEAM,,508.95,63
BAM,,52.63,27
COUP,,550.40,39
KNSL,,339.74,45
MKTX,,1221.61,54
MA,,558.96,37
PAYC,,712.25,56.99999999999999
TSLA,,5347898.50,509
TTD,,1318.21,71
WD,,83.51,32
MA,,558.96,37
SBUX,,78.91,3
ZTS,,206.28,21
AAPL,,643.81,34
MSFT,,405.39,43
DIS,,120.74,2
FB,,491.52,47
NFLX,,2217.84,94
GOOG,,2016.96,18
AMZN,,11453.23,83
DPZ,,794.47,45
ETSY,,566.26,106
GLOB,,398.90,55.00000000000001
EA,,254.15,39
CHDN,,232.05,38
EPR,,44.64,21
MTCH,,170.57,34
ZNGA,,17.23,37
NVDA,,882.62,48
GMED,,80.33,31
NOW,,1439.94,74
ATVI,,202.44,56.99999999999999
DOCU,,765.00,84
HAS,,114.17,28.000000000000004
JD,,559.83,137
MMM,,177.51,8
PYPL,,367.36,46
SCHW,,26.01,-16
SHOP,,21345.24,191
ZM,,1284.89,101
CGNX,,129.94,43
NVCR,,708.92,146
LULU,,679.74,46
ICE,,141.41,26
NTES,,3749.06,132
QDEL,,364.10,22
STAA,,207.17,81
AMD,,277.48,88
=============Thu Jul 30 2020 21:38:05 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15
DIS,116.31,0
MMM,174.12,7.000000000000001
SBUX,88.50,11
GOOG,2044.84,19
EPR,44.64,21
ZTS,207.27,22
QDEL,364.10,22
ANET,356.98,24
NEE,414.44,24
ICE,141.41,26
HAS,111.00,27
BAM,53.15,28.000000000000004
GMED,80.33,31
WD,83.51,32
AAPL,639.64,34
MTCH,170.57,34
CHDN,228.11,37
MA,563.59,38
MA,563.59,38
ZNGA,17.44,38
COUP,550.40,39
EA,271.04,43
KNSL,335.40,44
MSFT,411.24,44
DPZ,794.47,45
CGNX,132.61,45
LULU,679.74,46
NVDA,882.62,48
PYPL,384.08,48
FB,513.41,50
MKTX,1211.52,54
PAYC,712.25,56.99999999999999
GLOB,425.35,59
ATVI,216.20,61
TEAM,508.95,63
ASML,1073.66,65
TTD,1318.21,71
NOW,1477.94,76
STAA,207.17,81
STAA,207.17,81
AMZN,11564.00,84
DOCU,765.00,84
NFLX,2198.04,93
AMD,327.13,98
ZM,1284.89,101
ETSY,581.33,108
NTES,3767.35,132
JD,570.05,138
NVCR,708.92,146
SHOP,22838.69,195
TSLA,5505189.64,511.00000000000006
=============Thu Jul 30 2020 21:41:28 GMT+1000 (Australian Eastern Standard Time)=============
SCHW,26.33,-15.26
DIS,116.31,0.07
MMM,174.12,7.10
SBUX,88.50,10.59
GOOG,2044.84,19.24
EPR,44.64,20.59
ZTS,207.27,21.78
